"AÑO","TRIMESTRE","CODIGO_DANE","DEPARTAMENTO","No_ACCESOS_FIJOS_A_INTERNET","POBLACION_DANE","PENETRACION"
"2021","  1 ","  91 ","AMAZONAS","1679","82171","0.02"
"2021","  1 ","  5 ","ANTIOQUIA","1408505","6726219","0.21"
"2021","  1 ","  81 ","ARAUCA","22385","300637","0.07"
"2021","  1 ","  88 ","ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA","4591","62159","0.07"
"2021","  1 ","  8 ","ATLANTICO","408866","2741002","0.15"
"2021","  1 ","  11 ","BOGOTA D.C.","2139304","7823334","0.27"
"2021","  1 ","  13 ","BOLIVAR","207643","2202773","0.09"
"2021","  1 ","  15 ","BOYACA","148395","1271639","0.12"
"2021","  1 ","  17 ","CALDAS","155785","1028635","0.15"
"2021","  1 ","  18 ","CAQUETA","33973","418267","0.08"
"2021","  1 ","  85 ","CASANARE","50362","452098","0.11"
"2021","  1 ","  19 ","CAUCA","100855","1525284","0.07"
"2021","  1 ","  20 ","CESAR","122262","1322378","0.09"
"2021","  1 ","  27 ","CHOCO","27645","573848","0.05"
"2021","  1 ","  25 ","CUNDINAMARCA","543265","3233689","0.17"
"2021","  1 ","  23 ","CORDOBA","115273","1864336","0.06"
"2021","  1 ","  94 ","GUAINIA","1560","53583","0.03"
"2021","  1 ","  95 ","GUAVIARE","2636","91717","0.03"
"2021","  1 ","  41 ","HUILA","134429","1151211","0.12"
"2021","  1 ","  44 ","LA GUAJIRA","55102","993081","0.06"
"2021","  1 ","  47 ","MAGDALENA","114705","1454154","0.08"
"2021","  1 ","  50 ","META","145014","1098104","0.13"
"2021","  1 ","  52 ","NARIÑO","115239","1678786","0.07"
"2021","  1 ","  54 ","NORTE DE SANTANDER","187310","1654341","0.11"
"2021","  1 ","  86 ","PUTUMAYO","26274","371213","0.07"
"2021","  1 ","  63 ","QUINDIO","123283","557099","0.22"
"2021","  1 ","  66 ","RISARALDA","217159","968287","0.22"
"2021","  1 ","  68 ","SANTANDER","385250","2312097","0.17"
"2021","  1 ","  70 ","SUCRE","62476","966893","0.06"
"2021","  1 ","  73 ","TOLIMA","196546","1361931","0.14"
"2021","  1 ","  76 ","VALLE DEL CAUCA","879946","4613764","0.19"
"2021","  1 ","  97 ","VAUPES","46","44378","0.00"
"2021","  1 ","  99 ","VICHADA","1521","118270","0.01"
"2021","  2 ","  91 ","AMAZONAS","1436","82171","0.02"
"2021","  2 ","  5 ","ANTIOQUIA","1464950","6726219","0.22"
"2021","  2 ","  81 ","ARAUCA","23463","300637","0.08"
"2021","  2 ","  88 ","ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA","4829","62159","0.08"
"2021","  2 ","  8 ","ATLANTICO","422841","2741002","0.15"
